color,lat,lon
#e6194B,-33.5346314,-70.7986136
#3cb44b,-33.4537639,-70.6669997
#ffe119,-33.3664487,-70.6381797
#4363d8,-33.3574654,-70.5047022
#f58231,-33.5233051,-70.5986885
#911eb4,-33.5467793,-70.6304722
#42d4f4,-33.4122743,-70.6457133
#f032e6,-33.4765573,-70.7113476
#bfef45,-33.5226159,-70.7758883
#fabed4,-33.4894033,-70.5986386
